"","Application.ID","No.of.times.90.DPD.or.worse.in.last.6.months","No.of.times.60.DPD.or.worse.in.last.6.months","No.of.times.30.DPD.or.worse.in.last.6.months","No.of.times.90.DPD.or.worse.in.last.12.months","No.of.times.60.DPD.or.worse.in.last.12.months","No.of.times.30.DPD.or.worse.in.last.12.months","Avgas.CC.Utilization.in.last.12.months","No.of.trades.opened.in.last.6.months","No.of.trades.opened.in.last.12.months","No.of.PL.trades.opened.in.last.6.months","No.of.PL.trades.opened.in.last.12.months","No.of.Inquiries.in.last.6.months..excluding.home...auto.loans.","No.of.Inquiries.in.last.12.months..excluding.home...auto.loans.","Presence.of.open.home.loan","Outstanding.Balance","Total.No.of.Trades","Presence.of.open.auto.loan","Performance.Tag"
"2812",273171224,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2965",193882985,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2975",975187794,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2977",98866804,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3005",432416334,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3024",719723931,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3025",620553490,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3058",700389559,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3073",169504265,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3078",880972144,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3090",58406533,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3205",975579609,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3290",527091002,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3314",935550764,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3347",156299437,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3363",181910012,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3413",842386791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3443",315964660,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3472",378613162,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3520",152270934,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3523",638787878,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3589",512354557,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3638",671679432,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3653",933809587,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3661",416399344,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3715",56026954,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3783",276442989,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3798",748767366,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3843",340059748,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3990",823867371,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4012",554171186,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4015",56834798,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4083",134776096,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4126",195183596,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4131",542575413,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4152",90868063,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4246",82334457,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4282",408172455,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4304",99170053,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4327",540568159,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4399",304949668,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4406",500763430,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4484",782932297,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4510",627169974,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4547",307760037,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4625",278797628,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4855",472169239,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4929",321964673,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4931",471670773,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4975",921298421,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4980",981400178,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5015",178026778,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5071",774507688,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5108",711515108,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5188",331735839,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5208",852865175,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"5212",586579921,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5263",425336297,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5370",36014306,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5375",781848276,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5436",698918934,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5445",515375242,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5450",909306179,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5459",362046613,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5506",802116780,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5515",231364263,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5526",795317080,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5559",850061129,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5586",584734272,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5632",402629080,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5690",812582013,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5696",376331857,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5725",196985278,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5733",343614937,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5749",497204890,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5865",44335876,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"5903",416108208,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5957",958697300,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"5999",580038194,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6139",438182913,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6173",785171556,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6214",397622376,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6215",347817698,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6229",175490401,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6230",566551349,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6244",415811284,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6256",478793831,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,1
"6262",469805714,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6303",167161776,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6371",52862117,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6388",637769251,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6424",638859581,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6516",274585256,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6518",657849643,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6563",646674600,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6567",276325618,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6688",677626358,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6703",450739822,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6739",913781597,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6749",190430119,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6762",100418985,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6835",746428182,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6866",481781824,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6894",886590423,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6911",13151228,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6925",246445056,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6971",322847976,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,1
"6986",984007053,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"6989",842699068,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7020",669000984,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7040",722063351,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7076",592292540,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7094",83530564,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7180",731139488,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7191",313678950,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7210",893305928,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7231",658760817,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7330",705606871,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7451",708576750,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7504",268480514,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7555",546735796,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7560",594390465,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7574",900252165,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7661",487657492,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7710",997172857,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"7726",610379323,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7805",776801546,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7821",836793451,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7822",171704409,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7839",306614027,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7854",376067225,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7862",167214024,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7903",347854770,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7910",556344844,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7967",920102023,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7978",232544899,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"7986",128878646,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8003",373139268,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8017",700420135,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,1
"8115",35682808,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8248",277769106,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8375",809093861,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8412",926208698,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8423",969054942,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8432",414946119,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8469",422970136,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8521",784776226,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8626",501149872,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8653",130987544,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8734",708955818,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8742",371900366,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8747",955942047,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8801",931086616,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0
"8827",696657496,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,1
"8864",486586325,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"8942",417446167,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"8975",980506042,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"8995",756127715,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9030",842675196,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9034",685387996,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9046",321673518,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9064",777088277,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9077",757202774,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9110",280220423,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9173",139178950,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9207",892543372,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9272",430694387,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9280",858123994,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9323",218711474,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9340",192027436,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9379",152614943,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9407",85578030,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9409",631382505,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9448",239997968,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9456",606662740,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9546",115790461,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9550",847381190,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9658",991369341,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9719",309238200,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"9957",408725339,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"10016",471279826,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"10024",579666153,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"10096",154555471,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"10109",170133761,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"10127",204581256,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"10207",578573600,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"10220",792351608,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"10258",771058072,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"10320",589727786,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10321",126297619,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10322",633535445,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10323",307891979,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10324",332776118,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10325",958597982,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"10326",880650308,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10327",302676241,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10328",828346773,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10329",325933773,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10330",23937840,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10331",736724161,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10332",73893982,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10333",640665371,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10334",833157330,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10335",471690279,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10336",684746449,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10337",197581400,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10338",704116203,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10339",52533597,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10340",443762714,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10341",801659119,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10342",31723032,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10343",629930118,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10344",491314458,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10345",356979680,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10346",141983591,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"10347",897648447,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10348",338649966,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"10349",254535392,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10350",237168671,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10351",618758262,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10352",497527802,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10353",355665511,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10354",920619575,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10355",160918292,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10356",525371160,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10357",428232669,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10358",467588193,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10359",709351696,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10360",244927986,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"10361",772414815,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
